,X_value,Y_value,Z_value
1,1.0054277974301549,1.0523874199055108,0.532010048033371
2,1.042939168171408,1.3373040760802368,0.5469222447141266
3,1.1022411954899418,1.6238426487037785,0.5662866440010071
4,1.182416837726194,1.9188512294488902,0.5910151428133393
5,1.2833787575792535,2.228997697049593,0.6223951250372315
6,1.405388966951847,2.560229078484852,0.6621967435160828
7,1.5492335015521839,2.9184323297540686,0.7119755871122742
8,1.7162660895443729,3.309374264897464,0.774252782602768
9,1.9081024709952743,3.7392421948123555,0.8512276107929992
10,2.126751403825839,4.214163359416489,0.9466013003555298
11,2.374789338412935,4.740685495484691,1.0639141569771575
12,2.6549673997352627,5.325476481750968,1.2081547932165528
13,2.9707790798292564,5.975925048704362,1.3848482315849304
14,3.3255868647799893,6.699419926833897,1.6011287244511414
15,3.723626613681642,7.503409917608202,1.8656861130464173
16,4.169134185628398,8.396184816210102,2.188765827464371
17,4.666738457568531,9.384652785291934,2.5835099115423583
18,5.2212429810521535,10.475962271424393,3.0648842029563905
19,5.837494976279814,11.675940159627288,3.651287563078766
20,6.520210657500709,12.987890353777829,4.364766440959091
21,7.273451209207195,14.412173279753532,5.230746668348006
22,8.100229768280698,15.943322478412107,6.2785698696497345
23,9.002074737487167,17.569503966775173,7.540903410974273
24,9.978112743817483,19.268791837293968,9.053418554165878
25,11.023671241672922,21.006344921808825,10.852215689030837
26,12.129667151758731,22.73104281669235,12.97124956556526
27,13.280598103163229,24.37224204995183,15.437447963386916
28,14.453494385746822,25.838935087515004,18.264006567328412
29,15.616870902531133,27.019449978332148,21.442503741134793
30,16.729679122087994,27.785655322947086,24.932762379360426
31,17.74283548130547,28.00461404353677,28.65523288604286
32,18.60114280600783,27.55390148370566,32.48557543418213
33,19.2473951640984,26.343471245054857,36.25734201550347
34,19.628884494477425,24.33968357901641,39.77334833145127
35,19.704300253814033,21.58386731954524,42.82916854911057
36,19.450061370862258,18.198687406955244,45.24328154054009
37,18.864857786108438,14.378773815103912,46.88786081404831
38,17.970654830731682,10.36362953959923,47.71066004025734
39,16.809418077819693,6.399725809681101,47.74150361252869
40,15.437174405906852,2.7041591455720635,47.08139752492661
41,13.916850340299497,-0.5629812921321395,45.878551847339324
42,12.31063003924622,-3.309606691726703,44.29973643401314
43,10.675501091591421,-5.506402415173834,42.5694388500882
44,9.059673687437936,-7.166884432880305,41.16640497821106
45,7.498039078499701,-8.36313792034889,39.686986329091496
46,6.0169731296518165,-9.168809898551597,38.21357547144043
47,4.63337560862055,-9.661271789194736,36.80147627136528
48,3.3567662812051964,-9.913329619536114,35.48373158194283
49,2.19042029618992,-9.98859855695693,34.27643370174942
50,1.133464280565608,-9.939880992512968,33.18360570542915
51,0.18179338118944344,-9.809166540934598,32.20208277426201
52,-0.6707060130023379,-9.628833460218484,31.324408809907606
53,-1.4315012412376191,-9.423510851994742,30.540928433220138
54,-2.1084963292488474,-9.210919655241135,29.841771701072766
55,-2.7099446519721013,-9.003734846650236,29.216907747352902
56,-3.243968578392103,-8.810846931200722,28.657700371824568
57,-3.718297459639473,-8.638022722932813,28.156371630175855
58,-4.140267628990724,-8.489046693560407,27.70632367999046
59,-4.516647727266463,-8.365660901491488,27.301977857761916
60,-4.853813377433184,-8.268946624358595,26.93872103789833
61,-5.1573104980987345,-8.198843791182146,26.61295927371765
62,-5.432291990016861,-8.154631550207107,26.32163502849037
63,-5.6832120555340175,-8.135228623800945,26.06260266240631
64,-5.914306553744392,-8.13943359237194,25.833931099636306
65,-6.128937970733052,-8.165624539471281,25.63449387928001
66,-6.3303377866337005,-8.212179548650159,25.463003617451324
67,-6.521082451823215,-8.276996135623072,25.318870263202438
68,-6.703442736125277,-8.358572525900382,25.201611047576062
69,-6.879340060159931,-8.454565951278248,25.110635919624404
70,-7.05034649534357,-8.563174282369097,25.0458912383522
71,-7.217641095238495,-8.682355105867021,25.006894234802168
72,-7.38222823880518,-8.810066008466109,24.993698549969558
73,-7.544893961751823,-8.944024292942103,25.00571413290657
74,-7.7059002759811595,-9.082067404029921,25.043048265603712
75,-7.8654655247454635,-9.22191264450531,25.10489633313217
76,-8.023720713996104,-9.361277317144012,25.191097412506178
77,-8.180272825878982,-9.497938795701359,25.300578683820646
78,-8.334685173889541,-9.629253957075584,25.432696455132522
79,-8.486521071523228,-9.753120316981189,25.586163342555693
80,-8.634863477120476,-9.866894752316405,25.759799244194564
81,-8.778926354973088,-9.968474778795738,25.95178036621048
82,-8.91766165747013,-10.055337415276583,26.16022927376953
83,-9.050021337000675,-10.125560390412204,26.382946686066283
84,-9.174782671351966,-10.177161361876276,26.617518758314283
85,-9.290635601010342,-10.208398271260812,26.860995235774535
86,-9.396532078364867,-10.21782941505576,27.110533145698547
87,-9.491205712552338,-10.204133231710234,27.362860387375793
88,-9.573477450010452,-10.166889224367132,27.61438301412422
89,-9.64229924312828,-10.10561682518977,27.862043489214322
90,-9.696754050246257,-10.020496247116906,28.101926019992522
91,-9.736055835656185,-9.912068128964815,28.330597582762525
92,-9.75954956960123,-9.781473819345617,28.545215204775847
93,-9.76688590287775,-9.630215092748955,28.741863093378903
94,-9.757933829534378,-9.460334362480744,28.9181810447805
95,-9.732649680920657,-9.274174396744822,29.0713797272274
96,-9.691470143541146,-9.074558531581715,29.19952806489044
97,-9.635050247152671,-8.864189961072778,29.300909545921478
98,-9.563870346910248,-8.64649273105439,29.37434406842491
99,-9.479240502327537,-8.424410319526253,29.41913429946243
100,-9.382208761015471,-8.201306701345157,29.435226598038785
101,-9.274172519788626,-7.980245496469973,29.422728246144484
102,-9.156660181412944,-7.7641101119208145,29.382497499703597
103,-9.031331154605732,-7.555904096676958,29.31566081961647
104,-8.899757510783386,-7.357790006003494,29.22361287175972
105,-8.763773333265037,-7.172170679083841,29.108123808976742
106,-8.624994362117539,-7.000668032366818,28.971392912072982
107,-8.485167343359107,-6.845024124260405,28.815297615882336
108,-8.345820679755688,-6.706200090437974,28.64225176519127
109,-8.208613780024585,-6.585277208532066,28.454615563790966
110,-8.074900372329921,-6.482375620501852,28.254481010496367
111,-7.946034184835815,-6.398276249081945,28.044530155070188
112,-7.823325277055931,-6.332798881333588,27.82674771433685
113,-7.707778027950743,-6.285763304318028,27.603386610097044
114,-7.600353147830276,-6.257109447055672,27.376807046141966
115,-7.502011347004547,-6.246116457791498,27.148671893324508
116,-7.413320317929477,-6.252243697709236,26.92107315045959
117,-7.334935090361899,-6.275190811910953,26.69588825238113
118,-7.26729235080637,-6.313936593743694,26.47461914695625
119,-7.2110034603692625,-6.368060546350364,26.259250551009366
120,-7.166024750400123,-6.436721676016759,26.05106984842659
121,-7.132792907403507,-6.5190789890286815,25.85157898707504
122,-7.111220594078501,-6.614651917549448,25.662279914821852
123,-7.101613490978298,-6.722599467864857,25.484299092567365
124,-7.103753254850616,-6.841960504301536,25.31913846817871
125,-7.117596217045001,-6.972314530002393,25.167709938575207
126,-7.142967702959632,-7.112820551253222,25.031461810628738
127,-7.179693037992687,-7.262397290421486,24.911305981258618
128,-7.227466541590976,-7.4203839667317375,24.808261629374694
129,-7.285982533201313,-7.586059728428953,24.72356249786781
130,-7.354935332270507,-7.758103013962248,24.657905919676285
131,-7.433713577692185,-7.935792971576593,24.612311073709943
132,-7.5218805829617885,-8.117808039721105,24.587368010916595
133,-7.618955992924308,-8.30312701174283,24.583934987220303
134,-7.724197440522003,-8.490368255111292,24.602441130583113
135,-7.836862558697128,-8.67796992435727,24.643476491952818
136,-7.95620898039194,-8.864550386950292,24.70714835331993
137,-8.081319663946877,-9.04812730056403,24.793778560655973
138,-8.211233899051914,-9.227198890708845,24.903206190975187
139,-8.344903638096122,-9.39966267309924,25.035002116315535
140,-8.481062490216292,-9.563596376388471,25.18884449070549
141,-8.618531401850127,-9.716717303352286,25.36366049423996
142,-8.756043982134418,-9.856922969705188,25.558377307013853
143,-8.892071828303223,-9.982170962141264,25.77176118613632
144,-9.02517387489151,-10.0899983704975,26.001612850801923
145,-9.153778050482883,-10.178603065386334,26.246162148167265
146,-9.276443289612311,-10.245882562522258,26.502566105483854
147,-9.391422846261577,-10.290275016436052,26.76830359597473
148,-9.49736299226656,-10.310278652638072,27.040102518929366
149,-9.59251698160904,-10.304571909577437,27.314798055627744
150,-9.675749429377174,-10.272554077458285,27.5885816954068
151,-9.745400926853657,-10.213984872362278,27.85796677357498
152,-9.800554432378922,-10.128984436248587,28.119091138473966
153,-9.840161898342037,-10.018153478913067,28.36830720242645
